50,A Casebook for systems development: Instructor's manual ,"Rogerson, S.",8253,1986,London : Edward Arnold,Industrial Systems Engineering,Reference Books,1
51,A certain slant of light ,"Whitcomb, Laura",53771,2005,Boston : Graphia,Literature And Art,Reference Books,1
52,A collection of test problems for constrained global optimization algorithms ,"Floudas, C. A.",6946,1990,Berlin : Springer-Verlag,Mathematics,Reference Books,2
53,A colour guide to dangerous plants ,"Chin, Wee Yeow",52468,1990,Singapore : Singapore University Press,Biotechnology,Reference Books,1
54,A communications manual for nonprofit organizations ,"Maddalena, Lucille A.",2626,1981,New York : AMACOM,Business Administration,Reference Books,1
55,A computational model of first language acquisition ,"Satake, Nobuo",6645,1990,Singapore : World Scientific,Computer Science And Engineering,Reference Books,5
56,A concise guide to technical communication ,"Gurak, Laura J.",52323,2004,New York : Pearson/Longman,Electronic And Telecommunication Engineering,Reference Books,1
57,A concise introduction to the theory of integration ,"Stroock, Daniel W.",52243,1994,Boston :  Birkhäuser,Mathematics,Reference Books,1
58,A corpse in the Koryo an Inspector O novel ,"Church, James",54174,2006,New York : Thomas Dunne Books,Literature And Art,Reference Books,1
59,A course in algebra ,"Fan, Yun",6841,2000,Singapore : World Scientific,Mathematics,Reference Books,2
60,A course in financial calculus ,"Etheridge, Alison",2294,2002,"Cambridge, UK : New York : Cambridge University Press",Business Administration,Curriculum,3
61,A course in probability theory ,"Chung, Kai Lai, 1917-",2436,1974,New York : Academic press,Mathematics,Curriculum,1
62,A cup of Chicken Soup for the Soul 4,Jack Canfield,5397,2007,HCM city : General,Other Areas,Reference Books,1
63,"A desktop guide for nonprofit directors, officers, and advisors : avoiding trouble while doing good","Siegel, Jack B.",3107,2006,Hoboken : John Wiley,Business Administration,Reference Books,1
64,A digital signal processing laboratory using the TMS32010 ,"Jones, Douglas L.",54140,1988,New Jersey : Prentice Hall,Biomedical Engineering,Reference Books,1
65,A dog's wisdom : a heartwarming view of life ,"Bonham, Margaret H.",3108,2005,Hoboken : Howell Book House,Social Sciences,Reference Books,1
66,A double scotch : how Chivas Regal and The Glenlivet became global icons ,"Pacult, F. Paul",3109,2005,Hoboken : John Wiley,Business Administration,Reference Books,1
67,A Father's book of wisdom ,"Brown, H, Jackson",2897,1992,Melbourne : Bookman Press,Other Areas,Reference Books,1
68,A fine night for dying ,"Higgins, Jack, 1929-",7786,1977,London : Arrow books,Other Areas,Reference Books,1
69,A first book of C : Fundamentals of C programming ,"Bronson, Gary J.",5145,1988,St. Paul : West Pub. Co,Biomedical Engineering,Reference Books,1
70,A first course in chaotic dynamical systems : Theory and experiment ,"Devaney, Robert L., 1948-",6910,1992,"Reading, Massachusetts : Addison-Wesley pub.",Mathematics,Reference Books,1
71,A first course in continuum mechanics : for physical and biological engineers and scientists ,"Fung, Y. C. (Yuan-cheng), 1919-",7547,1994,New Jersey : Prentice Hall,Physics,Reference Books,1
72,A first course in electrical and computer engineering ,"Scharf, Louis L.",55852,1990,"Reading, Mass. : Addison-Wesley Pub. Co.",Electronic And Telecommunication Engineering,Reference Books,1
73,A first course in electrical and computer engineering : with MATLAB programs and experiments ,"Scharf, Louis L.",52201,1990,Mass. : Addison-Wesley Pub. Co.,Electronic And Telecommunication Engineering,Reference Books,1
74,A First Course in Fuzzy and Neural Control ,Unknown,58611,2003,"Boca Raton, Fla.; London : Chapman And Hall/CRC Press",Electronic And Telecommunication Engineering,Curriculum,3
75,A first course in Mathematicsematical modeling ,"Giordano, Frank R.",2378,1997,"Pacific Grove, CA : Brooks/Cole Pub. Co",Mathematics,Reference Books,1
76,A first course in mechanics ,"Lunn, Mary",7562,1991,Oxford : Oxford University Press,Biomedical Engineering,Reference Books,1
77,A first course in probability,"Ross, Sheldon",107396,2014,New Jerry : Pearson Prentice Hall,Mathematics,Curriculum,2
78,A first course in quantum mechanics ,"Clark, H. (Hylton)",55997,1982,New York : Van Nostrand Reinhold,Physics,Reference Books,1
79,A first course in wavelets with fourier analysis ,"Boggess, Albert",2393,2001,"Upper Saddle River, N.J. : London : Prentice Hall ; Prentice Hall International",Mathematics,Curriculum,2
80,A first lab in circuits and electronics,"Tsividis, Yannis",51497,2001,New York : John Wiley.,Electronic And Telecommunication Engineering,Reference Books,1
81,A formal approach to hardware design ,"Staunstrup, Jørgen",55516,1994,Boston : Kluwer Academic Publishers,Electronic And Telecommunication Engineering,Reference Books,1
82,A FORTRAN program for calculating the electrical parameters of extrinsic silicon ,"Larrabee, R.D.",55943,1980,"Washington, D.C. : U.S. Dept. of Commerce, National Bureau of Standards",Computer Science And Engineering,Reference Books,1
83,A foundation course in statics and dynamics ,"Plum, D. R.",7566,1997,Harlow : Longman,Physics,Reference Books,1
84,A guide to common garden animals,Unknown,59125,1987,Singapore : Science Centre,Biotechnology,Reference Books,1
85,A guide to consultancy ,"Clayton, Rolf.",55953,1995,"Warwickshire, UK : Institution of Chemical Engineers",Business Administration,Reference Books,1
86,A guide to desktop publishing ,"Freedman, Terry",56549,1992,Pangbourne : Kuma Computers,Computer Science And Engineering,Reference Books,1
87,A Guide to developing client/server SQL applications ,"Khoshafian, Setrag",5645,1992,"San Mateo, CA : Morgan Kaufmann Publishers",Computer Science And Engineering,Reference Books,1
88,A guide to Feynman diagrams in the many-body problem ,"Mattuck, Richard D.",11546,1967,New York : McGraw-Hill Pub. Co.,Physics,Reference Books,1
89,A guide to Freshwater Fish ,"Cihar, Jiri",8339,1991,London : Treasure Press,Biotechnology,Reference Books,1
90,A guide to introductory physics teaching ,"Arons, Arnold B.",11488,1990,New York : Wiley,Physics,Reference Books,1
91,A guide to LATEX: document preparation for beginners and advanced users - 3rd ed,"Kopka, Helmut",56776,1999,"Harlow, England : Addison-Wesley",Computer Science And Engineering,Reference Books,1
92,A guide to manual materials handling ,"Mital, A.",6399,1997,London : Taylor And Francis,Other Areas,Reference Books,1
93,A Guide to Medicinal plants ,"Chin, Wee Yeow",8340,1992,Singapore : Singapore science centre,Biotechnology,Reference Books,1
94,A guide to microsoft proxy server 2.0 ,"Johnson, David",5585,1999,Cambridge : Course technology,Computer Science And Engineering,Reference Books,1
95,"A guide to Modern biology:Genetics,cell And Systems ","Lawrence, Eleanor",8341,1989,New York : Longman Scientific And Technical,Biotechnology,Reference Books,1
96,A guide to modern inorganic chemistry ,"Owen, S.M.",7217,1991,New York : Wiley,Chemical Applications,Reference Books,1
97,A guide to pond life ,"Bhathal, R. S",11901,1981,Singapore : Singapore Science Centre,Biotechnology,Reference Books,1
98,A guide to practical technological forecasting ,"Bright, James Rieser",2638,1973,N.J. : Prentice-Hall,Business Administration,Reference Books,1
99,A guide to project management body of knowledge (PMBOK guide) - 4th ed,Project management Institute,53618,2008,"USA: Project Management Institute, Inc.",Industrial Systems Engineering,Curriculum,45
100,A guide to seashore life ,"Tan, Leo W H",8342,1988,Singapore : Singapore science centre,Biotechnology,Reference Books,1
101,A guide to simulation ,"Bratley, Paul",1297,1987,New York : Springer-Verlag,Computer Science And Engineering,Reference Books,1
102,A guide to SQL 1991,"Pratt, Philip J., 1945",5672,1991,Boston : Boyd And Fraser Pub. Co.,Computer Science And Engineering,Reference Books,2
103,A guide to SQL ,"Pratt, Philip J., 1945",5656,1994,"Danvers, Mass. : Boyd And Fraser Pub. Co.",Computer Science And Engineering,Reference Books,1
104,A guide to the Bukit Timah nature reserve ,"Ten, Choo-Toh Get",6165,1985,Singapore : Singapore Science Reserve,Business Administration,Reference Books,1
105,A guide to the SQL standard : A user's guide to the standard database language SQL 1997,"Date, C. J.",2262,1997,"Reading, Mass. : Addison-Wesley",Biomedical Engineering,Reference Books,1
106,A guide to the SQL standard: A user's guide to the standard relational language SQL 1989,"Date, C.J.",5652,1989,"Reading, Massachusetts : Addison-Wesley publishing company",Computer Science And Engineering,Reference Books,1
107,A guide to the SQL standard: A user's guide to the standard relational language SQL ,"Date, C.J.",5657,1993,"Reading, Massachusetts : Addison-Wesley",Computer Science And Engineering,Reference Books,2
108,A guide to writing as an engineer ,"Beer, David",1641,2005,New York : Wiley,Foreign Language,Reference Books,2
109,A guidebook to mechanism in organic chemistry ,"Sykes, Peter",8344,1986,England ; New York : Wiley,Chemical Applications,Reference Books,1
110,A handbook of computer-based training ,"Dean, Christoper",6475,1992,London : Kogan Page,Computer Science And Engineering,Reference Books,1
111,A handbook of interactive management ,"Warfield, John N.",55785,1994,Iowa : Iowa State University Press,Business Administration,Reference Books,1
112,A handbook to literature ,"Harmon, William, 1938-",52170,2006,N.J. : Prentice Hall,Literature And Art,Reference Books,1
113,A history of engineering and science in the Bell system ,Unknown,56887,1985,Indianapolis : AT And​ T Bell Laboratories,Electronic And Telecommunication Engineering,Reference Books,2
114,A history of engineering and technology : artful methods ​ ,"Garrison, Ervan",52469,1998,Boca Raton : CRC Press,Natural Science,Reference Books,1
115,A history of graphic design ,"Meggs, Philip B.",56587,1992,New York : Van Nostrand Reinhold,Computer Science And Engineering,Reference Books,2
116,A history of modern Europe : from the Renaissance to the present ,"Merriman, John M.",52196,1996,New York : W.W. Norton,Other Areas,Reference Books,1
117,A history of the thermometer and its use in meteorology ,"Middleton, W. E. Knowles (William Edgar Knowles), 1902-",7613,1966,Maryland : The Johns Hopkins Press,Physics,Reference Books,1
118,A history of world societies ,"McKay, John P. 1948-",52115,2000,Boston : Houghton Mifflin,Other Areas,Reference Books,1
119,A Java GUI programmer's primer ,"Culwin, Fintan",5187,1998,New Jersey : Prentice Hall,Computer Science And Engineering,Reference Books,1
120,A jouney of scars ,"Yabes, Criselda",5977,1994,Metro Manila : Anvil,Other Areas,Reference Books,1
121,A laboratory course in pascal : With a tutorial on turbo ,"Dale, Nell",5299,1990,"Lexington, Massachusetts : D.C. Heath and Company",Computer Science And Engineering,Reference Books,1
122,A Laboratory guide for cellular and molecular plant biology ,"Negrutiu, I.",8345,1991,Basel : Birkhäuser Verlag,Biotechnology,Reference Books,1
123,A lily among the thorns : imagining a new Christian sexuality ,"De La Torre, Miguel A.",3110,2007,San Francisco : John Wiley And​ Sons,Social Sciences,Reference Books,1
124,"A little Java, a few patterns ","Felleisen, Matthias",2091,1998,"Cambridge, Mass. : MIT Press",Computer Science And Engineering,Reference Books,1
125,A long way gone ,"Beah, Ishmael",54308,2007,New York : Sarah Crichton Books,Literature And Art,Reference Books,1
126,A Maggot ,"Fowles, John, 1926-2005",7784,1985,London : Pan books,Other Areas,Reference Books,1
127,A manager's guide to strategic retirement plan management ,"Cassidy, Daniel",3111,2006,Hoboken : John Wiley,Business Administration,Reference Books,1
128,A manager's guide to the millennium : today's strategies for tomorrow's success ,"Matejka, Ken",2592,1995,New York : Amacom,Business Administration,Reference Books,1
129,A maniac commodity trader's guide to making a fortune : a not-so crazy roadmap to riches ,"Kerr, Kevin",3112,2007,N.J. : John Wiley And Sons,Business Administration,Reference Books,1
130,"A manual of script typeface: A definitive guide to series in current use, selected and arranged with","Hutchings, R. S.",56800,1965,New York; London : Hasting House Publishers; Cory Adams And Mackay Ltd.,Other Areas,Reference Books,1
131,A manual of spherical and practical astronomy ,"Chauvenet, William 1820-1870",11562,1891,New York : Dover Publications,Physics,Reference Books,1
132,A master guide to income property brokerage : boost your income by selling commercial and income pro,"Peckham III, John M.",3113,2006,Hoboken : John Wiley And​ Sons,Business Administration,Reference Books,1
133,A Miracle and A Privilege ,"Moore, Francis D.",52470,1995,Washington : National Academy Press,Biotechnology,Reference Books,2
134,A modern approach to classical mechanics ,"Iro, Harald",7000,2002,New Jersey : World Scientific,Physics,Reference Books,2
135,A natural system of house design: an architect's way ,"Woods, Charles G.",59419,1997,New York : McGraw-Hill,Civil Engineering,Reference Books,1
136,A networking approach to grid computing ,"Minoli, Daniel",3114,2005,Hoboken : John Wiley,Computer Science And Engineering,Reference Books,1
137,A new era for irrigation ,Unknown,8147,1996,"Washington, D.C. : National Academy Press",Biotechnology,Reference Books,2
138,"A new era of nuclear structure physics : proceedings of the international symposium, Kurokawa Villag","Suzuki, Yasuyuki.",7716,2004,New Jersey : World Scientific,Physics,Reference Books,20
139,A new kind of Christian : a tale of two friends on a spiritual journey ,"McLaren, Brian D.",3115,2001,San Francisco : Jossey-Bass,Social Sciences,Reference Books,1
140,A New theory of urban design ,Unknown,57647,1986,New York : Oxford University Press,Civil Engineering,Reference Books,1
141,A new vision for human resources : defining the human resources function by its results ,"Fitz-enz, Jac",2711,1998,Calif. : Crisp Publications,Business Administration,Reference Books,1
142,A not so perfect crime ,"Solana, Teresa.",57390,2008,London : Bitter Lemon Press,Literature And Art,Reference Books,1
143,A personal history of CESR and CLEO : the Cornell Electron Storage Ring and its main particle detect,"Berkelman, Karl",7645,2004,New Jersey : World Scientific,Electronic And Telecommunication Engineering,Reference Books,1
144,A planet of viruses ,"Zimmer, Carl",54870,2011,Chicago : University of Chicago Press,Literature And Art,Reference Books,1
145,A positron named priscilla : Scientific discovery at the frontier ,"Bartusiak, Marcia",6734,1994,Washington : National Academy Press,Natural Science,Reference Books,7
146,A Practical Approach To Clinical Paediatrics ,Unknown,52471,1995,Singapore : World Scientific,Biomedical Engineering,Reference Books,19
147,A practical guide to graduate research ,"Stock, Molly.",56618,1985,New York : McGraw-Hill,Other Areas,Reference Books,1
148,A practical guide to groundwater and solute transport modeling ,"Spitz, Karlheinz",8346,1996,New York : John Wiley,Civil Engineering,Reference Books,1
149,A practical guide to setting out on site ,"Roper, Peter",56858,1992,London : Avenue Books,Civil Engineering,Reference Books,1
150,A Practical introduction to PHIGS and PHIGS plus ,"Howard, T. L. J.",5786,1991,"Workingham, England : Addison-Wesley",Computer Science And Engineering,Reference Books,3
151,A programming approach to formal methods ,"Casey, Chris",1349,1994,London ; New York : McGraw-Hill Book Co,Computer Science And Engineering,Reference Books,2
152,A quest for perspectives : selected works of S. Chandrasekhar : with commentary 2001,"Wali, Kameshwar C., 1910-",7010,2001,London : Imperial College Press,Physics,Reference Books,2
153,A quest for perspectives : selected works of S. Chandrasekhar : with commentary ,"Wali, Kameshwar C., 1910-",7011,2001,London : Imperial College Press,Physics,Reference Books,2
154,A random walk in science ,"Weber, R. L. (Robert Lemmerman) 1913-",11685,1973,London : Institute of Physics,Natural Science,Reference Books,1
155,"A revised flora of Malaya : an illustrated systematic account of the Malayan flora, including common 1969","Gilliland, H. B.",8348,1969,Singapore : Botanic Gardens,Biotechnology,Reference Books,1
156,"A revised flora of Malaya : an illustrated systematic account of the Malayan flora, including common","Holttum, R.E.",8347,1965,Singapore : SNP Publisher,Biotechnology,Reference Books,1
157,"A revises Flora of Malaya : an illustrated Systematic account of the Malysian flora, including common","Holttum, R. E. (Richard Eric), 1895-",11973,1964,Singapore : Authority,Biotechnology,Reference Books,1
158,A risk-management strategy for PCB-contaminated sediments ,Unknown,11850,2001,Washington : National Academy Press,Business Administration,Reference Books,3
159,A rolling stone ,"Moss, Geoffrey, 1926-",2712,2000,N.Z. : Moss Associates,Social Sciences,Reference Books,1
160,A safer future : Reducing the impacts of natural disasters ,Unknown,6325,1991,Washington : National Academy Press,Social Sciences,Reference Books,4
161,A scientific strategy for U.S. participation in the GOALS (Global Ocean-Atmosphere-Land- System) ,Global Ocean-Atmosphere-Land System Panel; Climate Research Committee; Board on Atmospheric Sciences,8349,1998,"Washington,DC : National Academy Press",Civil Engineering,Reference Books,2
162,"A scientist speaks out : A personal perspective on science, society and change ","Seaborg, Glenn T.",6072,1996,Singapore : World Scientific,Social Sciences,Reference Books,20
163,A short history of astronomy ,"Berry, Arthur",11586,1898,New York : Dover,Natural Science,Reference Books,1
164,A short history of the future ,"Wagar, W. Warren",52123,1999,Chicago : University of Chicago Press,Social Sciences,Reference Books,1
165,A simple guide to WinZip and PKZip ,"Pelletier, Michel, 1939-",5643,2000,Paris : Prentice Hall,Computer Science And Engineering,Reference Books,1
166,A special kind of nightmare ,"Geddes, Paul, 1922-",7772,1988,London : Grafton,Literature And Art,Reference Books,1
167,A statistical approach to neural networks for pattern recognition ,"Dunne, Robert A.",3116,2007,Hoboken : John Wiley And​ Sons,Computer Science And Engineering,Curriculum,1
168,A Stranger is watching ,"Clark, Mary Higgins",58027,1977,New York : Simon and Schuster,Literature And Art,Reference Books,1
169,A strategy for corporate innovation ,"Fujita, Shirō, 1929-",2740,1997,Tokyo : Asian Productivity Organization,Business Administration,Reference Books,2
170,A sudden change of heart ,"Bradford, Barbara Taylor, 1933-",7742,1998,London : HarperCollins Publishers,Other Areas,Reference Books,1
171,A Textbook of Clinical Ophthalmology : A Practical Guide to Disorders of the Eyes and Their manageme,"Crick, Ronald Pitts",52472,2003,Singapore : World Scientific,Biomedical Engineering,Reference Books,1
172,A Textbook of Organic Chemistry ,"Bahl, Arun",52377,1948,New Delhi : S. Chand And Company Ltd.,Chemical Applications,Reference Books,1
173,A tourism training manual for tourism administrators in the asia-pacific region ,Unknown,8297,1996,APEC Secretariat,Business Administration,Reference Books,2
174,A tutorial guide to Aldus Pagemaker 4.0 : Step by step tutorials for pagemaker ,"Kerlow, Isaac Victor, 1958-",5356,1983,Massachusetts : Addison-Wesley,Computer Science And Engineering,Reference Books,1
175,A view from the summit : The story of Bukit Timah nature reserve ,Unknown,6174,1996,Singapore : Nanyang technological university,Business Administration,Reference Books,1
176,A war like no other : the truth about China's challenge to America ,"Bush, Richard C.",3117,2007,Hoboken : John Wiley,Social Sciences,Reference Books,1
177,A wavelet tour of signal processing ,"Mallat, Stéphane",4965,1999,San Diego : Academic Press,Electronic And Telecommunication Engineering,Curriculum,1
178,A woman in Berlin : diary 20 April 1945 to 22 June 1945 ,Anonymous,54159,2006,London : Virago,Literature And Art,Reference Books,1
179,A world class trainer infrastructure : report by National Advisory Panel on Trainers ,Singapore National Advisory Panel on Trainers,2630,1991,Singapore : National Productivity Board,Business Administration,Reference Books,1
180,"A year without ""made in China"" : one family's true life adventure in the global economy ","Bongiorni, Sara",3118,2007,Hoboken : John Wiley,Business Administration,Reference Books,1
181,A+ certification study system ,"Pastore, Michael A.",1872,1999,"Foster City , CA : IDG Books Worldwide",Computer Science And Engineering,Reference Books,1
182,A+ guide to managing and maintaining your PC : Comprehensive ,"Andrews, Jean, 1946-",1863,2000,"Cambridge, Mass. : Course Technology",Computer Science And Engineering,Reference Books,4
183,ABC's of relationship selling ,"Futrell, Charles M.",56228,2000,Boston : Irwin,Business Administration,Reference Books,2
184,Abnormal psychology ,"Comer, Ronald J.",52143,2001,New York : Worth Publishers,Psychology,Reference Books,1
185,About vectors ,"Hoffmann, Banesh, 1906-",6954,1966,New York : Dover Publications,Mathematics,Reference Books,1
186,Absolute beginners' business French -Support book ,"Bird, Martyn",6632,1993,London : Hodder And Stoughton,Foreign Language,Reference Books,1
187,Absolute PC security and privacy ,"Miller, Michael, 1958-",3119,2002,San Francisco : Sybex,Computer Science And Engineering,Reference Books,1
188,"Abstract and applied analysis : proceedings of the international conference, Hanoi, Vietnam, 13-17 A","Chuong, N. M.",6823,2004,New Jersey : World Scientific,Mathematics,Reference Books,20
189,Abstract data types in Java ,"Jenkins, Michael S.",5572,1998,New York : McGraw-Hill,Computer Science And Engineering,Reference Books,1
190,Academic quality work : a handbook for improvement ,"Massy, William F.",3120,2007,Bolton : Anker Pub. Company,Social Sciences,Reference Books,1
191,Academic writing course : Study skills in English ,"Jordan, R. R.",2342,1999,Harlow : Pearson Education,Foreign Language,Reference Books,1
192,"Accelerator physics, technology, and applications : selected lectures of OCPA International Accelera","Chao, Alexander Wu",7710,2004,New Jersey : World Scientific,Physics,Reference Books,6
193,Access 2000 programming for dummies ,"Krumm, Rob, 1951-",5658,1999,"Foster City, CA : IDG Books Worldwide, Inc.",Computer Science And Engineering,Reference Books,1
194,Access 2000 VBA handbook ,"Novalis, Susann",3121,1999,San Francisco : Sybex,Computer Science And Engineering,Reference Books,1
195,Access 2000: A professional approach ,"Stewart, Kathleen",5695,2000,New York : McGraw-Hill,Computer Science And Engineering,Reference Books,1
196,Access 2002 VBA handbook ,"Novalis, Susann",3122,2001,CA : Sybex,Computer Science And Engineering,Reference Books,1
197,Access for windows 95 bible ,"Prague, Cary N.",5685,1995,"Foster City : IDG Books Worldwide, Inc.",Computer Science And Engineering,Reference Books,1
198,Accessible housing ,"Frechette, Leon A.",59349,1996,New York : McGraw-Hill ,Civil Engineering,Reference Books,1
199,"Accessing AutoCAD Architectural Desktop, release 2 ","Wyatt, William",57922,2001,New York : Autodesk Press,Civil Engineering,Reference Books,2
200,"Accessing student learning and development : A guide to the principles, goals, and methods of determ","Erwin, T. Dary",6593,1991,San Francisco : Jossey-Bass Publishers,Social Sciences,Reference Books,2
201,According to Queeney ,"Bainbridge, Beryl 1932-2010",54055,2001,London : Abacus,Literature And Art,Reference Books,1
202,Accounting 1999,"Horngren, Charles T.",8242,1999,New Jersey : Prentice Hall,Business Administration,Reference Books,1
203,Accounting 1994,"Sneyd, Michael R.",8235,1994,New York : Prentice Hall,Business Administration,Reference Books,1
204,Accounting : an introduction 2003,"Atrill, Peter",2881,2003,Australia : Prentice-Hall,Business Administration,Reference Books,1
205,Accounting : an introduction 2000,"Atrill, Peter",2571,2000,NSW : Pearsons Education Australia,Business Administration,Reference Books,23
206,Accounting : Measurement Models for Business Activity ,Ronald J. Huefner,2515,2005,Boston : Custom Publishing,Business Administration,Reference Books,3
